Pretty Chalk Carpet,Geometridae,Larentiinae,Melanthia,procellata
Melanthia procellata,Geometridae,Larentiinae,Melanthia,procellata
Dentated Pug,Geometridae,Larentiinae,Anticollix,sparsata
Anticollix sparsata,Geometridae,Larentiinae,Anticollix,sparsata
Chimney Sweeper,Geometridae,Larentiinae,Odezia,atrata
Odezia atrata,Geometridae,Larentiinae,Odezia,atrata
Twin-spot Carpet,Geometridae,Larentiinae,Mesotype,didymata
Mesotype didymata,Geometridae,Larentiinae,Mesotype,didymata
The Rivulet,Geometridae,Larentiinae,Perizoma,affinitata
Perizoma affinitata,Geometridae,Larentiinae,Perizoma,affinitata
Small Rivulet,Geometridae,Larentiinae,Perizoma,alchemillata
Perizoma alchemillata,Geometridae,Larentiinae,Perizoma,alchemillata
Barred Rivulet,Geometridae,Larentiinae,Perizoma,bifaciata
Perizoma bifaciata,Geometridae,Larentiinae,Perizoma,bifaciata
Heath Rivulet,Geometridae,Larentiinae,Perizoma,minorata
Perizoma minorata,Geometridae,Larentiinae,Perizoma,minorata
Pretty Pinion,Geometridae,Larentiinae,Perizoma,blandiata
Perizoma blandiata,Geometridae,Larentiinae,Perizoma,blandiata
Grass Rivulet,Geometridae,Larentiinae,Perizoma,albulata
Perizoma albulata,Geometridae,Larentiinae,Perizoma,albulata
Sandy Carpet,Geometridae,Larentiinae,Perizoma,flavofasciata
Perizoma flavofasciata,Geometridae,Larentiinae,Perizoma,flavofasciata
Barred Carpet,Geometridae,Larentiinae,Martania,taeniata
Martania taeniata,Geometridae,Larentiinae,Martania,taeniata
Marsh Carpet,Geometridae,Larentiinae,Gagitodes,sagittata
Gagitodes sagittata,Geometridae,Larentiinae,Gagitodes,sagittata
Double-striped Pug,Geometridae,Larentiinae,Gymnoscelis,rufifasciata
Gymnoscelis rufifasciata,Geometridae,Larentiinae,Gymnoscelis,rufifasciata
The V-Pug,Geometridae,Larentiinae,Chloroclystis,v-ata
